Component,Version,CVE,Matching type,CVSS Version,CVSS,CVE publication date,Is Affected,Reason Type,Remarks,Confirmer,Object,Object compilation date,Object full path,Obj_Sha1,,,,
apache http server,2.4.6,CVE-2018-1283,Exact match,3.0,5.0,2018-03-26 00:00:00,,,,,httpd,2019-05-06T09:34:33Z,CloudMSE_VASs_DDI_ZDNS_20.1.0_vZDNS_GuestOS_Install.zip_/CloudMSE_VASs_DDI_ZDNS_20.1.0_vZDNS_GuestOS_Install/omu_vZDNS_20.1.0.img_/_dev_sda2/usr/sbin/httpd,fa215f0e6255d885dd2502c8ad79cdbc1eb8124b,,,,
apache http server,2.4.6,CVE-2003-0020,Exact match,2.0,5.0,2003-03-18 00:00:00,,,,,httpd,2019-05-06T09:34:33Z,CloudMSE_VASs_DDI_ZDNS_20.1.0_vZDNS_GuestOS_Install.zip_/CloudMSE_VASs_DDI_ZDNS_20.1.0_vZDNS_GuestOS_Install/omu_vZDNS_20.1.0.img_/_dev_sda2/usr/sbin/httpd,fa215f0e6255d885dd2502c8ad79cdbc1eb8124b,,,,
apache http server,2.4.6,CVE-2011-1783,Exact match,2.0,4.0,2011-06-06 00:00:00,,,,,httpd,2019-05-06T09:34:33Z,CloudMSE_VASs_DDI_ZDNS_20.1.0_vZDNS_GuestOS_Install.zip_/CloudMSE_VASs_DDI_ZDNS_20.1.0_vZDNS_GuestOS_Install/omu_vZDNS_20.1.0.img_/_dev_sda2/usr/sbin/httpd,fa215f0e6255d885dd2502c8ad79cdbc1eb8124b,,,,
apache http server,2.4.6,CVE-2014-8109,Exact match,2.0,4.0,2014-12-29 00:00:00,,,,,httpd,2019-05-06T09:34:33Z,CloudMSE_VASs_DDI_ZDNS_20.1.0_vZDNS_GuestOS_Install.zip_/CloudMSE_VASs_DDI_ZDNS_20.1.0_vZDNS_GuestOS_Install/omu_vZDNS_20.1.0.img_/_dev_sda2/usr/sbin/httpd,fa215f0e6255d885dd2502c8ad79cdbc1eb8124b,,,,
apache http server,2.4.6,CVE-2014-0226,Exact match,2.0,6.0,2014-07-20 00:00:00,,,,,httpd,2019-05-06T09:34:33Z,CloudMSE_VASs_DDI_ZDNS_20.1.0_vZDNS_GuestOS_Install.zip_/CloudMSE_VASs_DDI_ZDNS_20.1.0_vZDNS_GuestOS_Install/omu_vZDNS_20.1.0.img_/_dev_sda2/usr/sbin/httpd,fa215f0e6255d885dd2502c8ad79cdbc1eb8124b,,,,
apache http server,2.4.6,CVE-2018-17199,Exact match,3.0,7.0,2019-01-30 00:00:00,,,,,httpd,2019-05-06T09:34:33Z,CloudMSE_VASs_DDI_ZDNS_20.1.0_vZDNS_GuestOS_Install.zip_/CloudMSE_VASs_DDI_ZDNS_20.1.0_vZDNS_GuestOS_Install/omu_vZDNS_20.1.0.img_/_dev_sda2/usr/sbin/httpd,fa215f0e6255d885dd2502c8ad79cdbc1eb8124b,,,,
apache http server,2.4.6,CVE-2014-0231,Exact match,2.0,5.0,2014-07-20 00:00:00,,,,,httpd,2019-05-06T09:34:33Z,CloudMSE_VASs_DDI_ZDNS_20.1.0_vZDNS_GuestOS_Install.zip_/CloudMSE_VASs_DDI_ZDNS_20.1.0_vZDNS_GuestOS_Install/omu_vZDNS_20.1.0.img_/_dev_sda2/usr/sbin/httpd,fa215f0e6255d885dd2502c8ad79cdbc1eb8124b,,,,
apache http server,2.4.6,CVE-2015-3184,Exact match,2.0,5.0,2015-08-12 00:00:00,,,,,httpd,2019-05-06T09:34:33Z,CloudMSE_VASs_DDI_ZDNS_20.1.0_vZDNS_GuestOS_Install.zip_/CloudMSE_VASs_DDI_ZDNS_20.1.0_vZDNS_GuestOS_Install/omu_vZDNS_20.1.0.img_/_dev_sda2/usr/sbin/httpd,fa215f0e6255d885dd2502c8ad79cdbc1eb8124b,,,,
apache http server,2.4.6,CVE-2019-10092,Exact match,3.0,6.0,2019-09-26 00:00:00,,,,,httpd,2019-05-06T09:34:33Z,CloudMSE_VASs_DDI_ZDNS_20.1.0_vZDNS_GuestOS_Install.zip_/CloudMSE_VASs_DDI_ZDNS_20.1.0_vZDNS_GuestOS_Install/omu_vZDNS_20.1.0.img_/_dev_sda2/usr/sbin/httpd,fa215f0e6255d885dd2502c8ad79cdbc1eb8124b,,,,
apache http server,2.4.6,CVE-2018-8011,Exact match,3.0,7.0,2018-07-18 00:00:00,,,,,httpd,2019-05-06T09:34:33Z,CloudMSE_VASs_DDI_ZDNS_20.1.0_vZDNS_GuestOS_Install.zip_/CloudMSE_VASs_DDI_ZDNS_20.1.0_vZDNS_GuestOS_Install/omu_vZDNS_20.1.0.img_/_dev_sda2/usr/sbin/httpd,fa215f0e6255d885dd2502c8ad79cdbc1eb8124b,,,,
